Country,Temperature,Year,Continent
 Algeria,51.3,2018,Africa
 Botswana,44,2016,Africa
 Burkina Faso,47.2,1984,Africa
 Chad,47.6,2010,Africa
 Comoros,36,2017,Africa
 Gambia,49,2001,Africa
 Ghana,43.8,2017,Africa
 Guinea,45,2017,Africa
 Morocco,51.7,1940,Africa
 Niger,49.5,1978,Africa
 Nigeria,46.4,2010,Africa
 Réunion,36.9,2004,Africa
 South Africa,50,1918,Africa
 Sudan,49.7,2010,Africa
 Tunisia,55,1931,Africa
 Western Sahara,50.7,1961,Africa
 Zambia,42.4,2010,Africa
