Country,Temperature,Year,Continent
 Australia,50.7,2022,Oceania
 Marshall Islands,35.6,2016,Oceania
 New Zealand,42.4,1973,Oceania
 Palau,35,2018,Oceania
 Samoa,35.3,1968,Oceania
 Solomon Islands,36.1,2010,Oceania
 Tonga,35.5,2016,Oceania
 Vanuatu,36.2,2016,Oceania
 Wallis and Futuna,35.8,2016,Oceania
