Country,Temperature,Year,Continent
 Argentina,48.9,1905,South America
 Bolivia,46.7,2020,South America
 Chile,44.9,2017,South America
 Colombia,45,2015,South America
 French Guiana,38,2016,South America
 Paraguay,45,2009,South America
 Peru,39.8,2016,South America
 Uruguay,44,2022,South America
 Venezuela,43.6,2015,South America
